icd_value,diagnosisname,count,sepsis_category,icd_type,icd_l1_name,icd_l2_name,icd_l3_name
M34.81,Systemic sclerosis with lung involvement (CMS code),116,,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Systemic connective tissue disorders (M30-M36),Systemic sclerosis [scleroderma]
L89.319,"Pressure ulcer of right buttock, unspecified stage",116,,ICD-10-CM,Diseases of the skin and subcutaneous tissue (L00-L99),Other disorders of the skin and subcutaneous tissue (L80-L99),Pressure ulcer
A52.8,"Late syphilis, latent",116,,ICD-10-CM,Certain infectious and parasitic diseases (A00-B99),Infections with a predominantly sexual mode of transmission (A50-A64),Late syphilis
H35.00,Unspecified background retinopathy,116,,ICD-10-CM,Diseases of the eye and adnexa (H00-H59),Disorders of choroid and retina (H30-H36),Other retinal disorders
R93.41,"Abnormal radiologic findings on diagnostic imaging of renal pelvis, ureter, or bladder",116,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Abnormal findings on diagnostic imaging and in function studies, without diagnosis (R90-R94)",Abnormal findings on diagnostic imaging of other body structures
A60.9,HSV (herpes simplex virus) anogenital infection,116,,ICD-10-CM,Certain infectious and parasitic diseases (A00-B99),Infections with a predominantly sexual mode of transmission (A50-A64),Anogenital herpesviral [herpes simplex] infections
T81.82XA,"Emphysema (subcutaneous) resulting from a procedure, initial encounter",116,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Complications of surgical and medical care, not elsewhere classified (T80-T88)","Complications of procedures, not elsewhere classified"
D35.3,Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch) (CMS code),116,,ICD-10-CM,Neoplasms (C00-D49),"Benign neoplasms, except benign neuroendocrine tumors (D10-D36)",Benign neoplasm of other and unspecified endocrine glands
M47.814,"Spondylosis without myelopathy or radiculopathy, thoracic region",116,,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Spondylopathies (M45-M49),Spondylosis
G40.509,"Epileptic seizures related to external causes, not intractable, without status epilepticus (CMS code)",116,,ICD-10-CM,Diseases of the nervous system (G00-G99),Episodic and paroxysmal disorders (G40-G47),Epilepsy and recurrent seizures
E03.2,Hypothyroidism due to medicaments and other exogenous substances,116,,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Disorders of thyroid gland (E00-E07),Other hypothyroidism
T46.2X5A,"Adverse effect of other antidysrhythmic drugs, initial encounter",116,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances (T36-T50)","Poisoning by, adverse effect of and underdosing of agents primarily affecting the cardiovascular system"
C79.60,Secondary malignant neoplasm of unspecified ovary (CMS code),116,,ICD-10-CM,Neoplasms (C00-D49),"Malignant neoplasms of ill-defined, other secondary and unspecified sites (C76-C80)",Secondary malignant neoplasm of other and unspecified sites
F31.13,"Bipolar disorder, current episode manic without psychotic features, severe (CMS code)",116,,ICD-10-CM,"Mental, Behavioral and Neurodevelopmental disorders (F01-F99)",Mood [affective] disorders (F30-F39),Bipolar disorder
G24.02,Drug induced acute dystonia,116,,ICD-10-CM,Diseases of the nervous system (G00-G99),Extrapyramidal and movement disorders (G20-G26),Dystonia
G72.89,Other specified myopathies,116,,ICD-10-CM,Diseases of the nervous system (G00-G99),Diseases of myoneural junction and muscle (G70-G73),Other and unspecified myopathies
D86.85,Sarcoid myocarditis,116,,ICD-10-CM,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),Certain disorders involving the immune mechanism (D80-D89),Sarcoidosis
S91.302A,"Unspecified open wound, left foot, initial encounter",116,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the ankle and foot (S90-S99),"Open wound of ankle, foot and toes"
K94.03,Mechanical complication of colostomy and enterostomy,116,,ICD-10-CM,Diseases of the digestive system (K00-K95),Other diseases of the digestive system (K90-K95),Complications of artificial openings of the digestive system
L70.8,Other acne,115,,ICD-10-CM,Diseases of the skin and subcutaneous tissue (L00-L99),Disorders of skin appendages (L60-L75),Acne
C79.19,Secondary malignant neoplasm of other urinary organs (CMS code),115,,ICD-10-CM,Neoplasms (C00-D49),"Malignant neoplasms of ill-defined, other secondary and unspecified sites (C76-C80)",Secondary malignant neoplasm of other and unspecified sites
Q27.9,"Congenital malformation of peripheral vascular system, unspecified",115,,ICD-10-CM,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",Congenital malformations of the circulatory system (Q20-Q28),Other congenital malformations of peripheral vascular system
L20.89,Other atopic dermatitis and related conditions,115,,ICD-10-CM,Diseases of the skin and subcutaneous tissue (L00-L99),Dermatitis and eczema (L20-L30),Atopic dermatitis
I65.01,Occlusion and stenosis of right vertebral artery,115,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Cerebrovascular diseases (I60-I69),"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction"
T86.20,Complications of transplanted heart,115,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Complications of surgical and medical care, not elsewhere classified (T80-T88)",Complications of transplanted organs and tissue
I70.203,"Unspecified atherosclerosis of native arteries of extremities, bilateral legs",115,,ICD-10-CM,Diseases of the circulatory system (I00-I99),"Diseases of arteries, arterioles and capillaries (I70-I79)",Atherosclerosis
F28,Other psychotic disorder not due to a substance or known physiological condition (CMS code),115,,ICD-10-CM,"Mental, Behavioral and Neurodevelopmental disorders (F01-F99)","Schizophrenia, schizotypal, delusional, and other non-mood psychotic disorders (F20-F29)",Other psychotic disorder not due to a substance or known physiological condition
V09.20XA,"Pedestrian injured in traffic accident involving unspecified motor vehicles, initial encounter",115,,ICD-10-CM,External causes of morbidity (V00-Y99),Pedestrian injured in transport accident (V00-V09),Pedestrian injured in other and unspecified transport accidents
S83.8X9A,Sprain and strain of other specified sites of knee and leg,115,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the knee and lower leg (S80-S89),Dislocation and sprain of joints and ligaments of knee
J15.5,Pneumonia due to Escherichia coli (CMS code),115,infection_respiratory,ICD-10-CM,Diseases of the respiratory system (J00-J99),Influenza and pneumonia (J09-J18),"Bacterial pneumonia, not elsewhere classified"
S90.821A,"Blister (nonthermal), right foot, initial encounter",114,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the ankle and foot (S90-S99),"Superficial injury of ankle, foot and toes"
Z63.79,Other stressful life events affecting family and household,114,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to socioeconomic and psychosocial circumstances (Z55-Z65),"Other problems related to primary support group, including family circumstances"
J45.990,Exercise induced bronchospasm,114,,ICD-10-CM,Diseases of the respiratory system (J00-J99),Chronic lower respiratory diseases (J40-J47),Asthma
S92.502A,"Displaced unspecified fracture of left lesser toe(s), initial encounter for closed fracture",114,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the ankle and foot (S90-S99),"Fracture of foot and toe, except ankle"
T81.718A,"Complication of other artery following a procedure, not elsewhere classified, initial encounter",114,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Complications of surgical and medical care, not elsewhere classified (T80-T88)","Complications of procedures, not elsewhere classified"
Z87.59,"Personal history of other complications of pregnancy, childbirth and the puerperium",114,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Personal history of other diseases and conditions
S90.129A,Contusion of toe,114,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the ankle and foot (S90-S99),"Superficial injury of ankle, foot and toes"
C91.11,Chronic lymphocytic leukemia of B-cell type in remission (CMS code),114,,ICD-10-CM,Neoplasms (C00-D49),"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)",Lymphoid leukemia
L80,Vitiligo,114,,ICD-10-CM,Diseases of the skin and subcutaneous tissue (L00-L99),Other disorders of the skin and subcutaneous tissue (L80-L99),Vitiligo
T84.89XA,"Other specified complication of internal orthopedic prosthetic devices, implants and grafts, initial encounter",114,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Complications of surgical and medical care, not elsewhere classified (T80-T88)","Complications of internal orthopedic prosthetic devices, implants and grafts"
Z82.69,Family history of other diseases of the musculoskeletal system and connective tissue,114,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Family history of certain disabilities and chronic diseases (leading to disablement)
Q44.5,"Other congenital anomaly of gallbladder, bile ducts, and liver",114,,ICD-10-CM,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",Other congenital malformations of the digestive system (Q38-Q45),"Congenital malformations of gallbladder, bile ducts and liver"
D69.9,"Hemorrhagic condition, unspecified",114,,ICD-10-CM,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),"Coagulation defects, purpura and other hemorrhagic conditions (D65-D69)",Purpura and other hemorrhagic conditions
N84.0,Polyp of corpus uteri,113,,ICD-10-CM,Diseases of the genitourinary system (N00-N99),Noninflammatory disorders of female genital tract (N80-N98),Polyp of female genital tract
S37.019A,"Minor contusion of unspecified kidney, initial encounter",113,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Injuries to the abdomen, lower back, lumbar spine, pelvis and external genitals (S30-S39)",Injury of urinary and pelvic organs
D17.9,"Benign lipomatous neoplasm, unspecified",113,,ICD-10-CM,Neoplasms (C00-D49),"Benign neoplasms, except benign neuroendocrine tumors (D10-D36)",Benign lipomatous neoplasm
S92.009A,Closed fracture of calcaneus,113,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the ankle and foot (S90-S99),"Fracture of foot and toe, except ankle"
D73.1,Hypersplenism,113,,ICD-10-CM,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),Other disorders of blood and blood-forming organs (D70-D77),Diseases of spleen
K56.51,"Intestinal adhesions (bands), with partial obstruction (CMS code)",113,,ICD-10-CM,Diseases of the digestive system (K00-K95),Other diseases of intestines (K55-K64),Paralytic ileus and intestinal obstruction without hernia
J93.0,Spontaneous tension pneumothorax,113,,ICD-10-CM,Diseases of the respiratory system (J00-J99),Other diseases of the pleura (J90-J94),Pneumothorax and air leak
H00.012,Hordeolum externum right lower eyelid,113,,ICD-10-CM,Diseases of the eye and adnexa (H00-H59),"Disorders of eyelid, lacrimal system and orbit (H00-H05)",Hordeolum and chalazion
S51.852A,"Open bite of left forearm, initial encounter",113,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the elbow and forearm (S50-S59),Open wound of elbow and forearm
N20.9,"Urinary calculus, unspecified",113,,ICD-10-CM,Diseases of the genitourinary system (N00-N99),Urolithiasis (N20-N23),Calculus of kidney and ureter
L89.629,"Pressure ulcer of left heel, unspecified stage",113,,ICD-10-CM,Diseases of the skin and subcutaneous tissue (L00-L99),Other disorders of the skin and subcutaneous tissue (L80-L99),Pressure ulcer
R45.3,Demoralization and apathy,113,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Symptoms and signs involving cognition, perception, emotional state and behavior (R40-R46)",Symptoms and signs involving emotional state
Z13.89,Encounter for screening for other disorder,113,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons encountering health services for examinations (Z00-Z13),Encounter for screening for other diseases and disorders
M66.0,Rupture of popliteal cyst,113,,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Disorders of synovium and tendon (M65-M67),Spontaneous rupture of synovium and tendon
R22.40,"Localized swelling, mass and lump, unspecified lower limb",113,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the skin and subcutaneous tissue (R20-R23),"Localized swelling, mass and lump of skin and subcutaneous tissue"
H05.011,Cellulitis of right orbit,113,infection_skin,ICD-10-CM,Diseases of the eye and adnexa (H00-H59),"Disorders of eyelid, lacrimal system and orbit (H00-H05)",Disorders of orbit
N83.512,Torsion of left ovary and ovarian pedicle,113,,ICD-10-CM,Diseases of the genitourinary system (N00-N99),Noninflammatory disorders of female genital tract (N80-N98),"Noninflammatory disorders of ovary, fallopian tube and broad ligament"
M87.052,Idiopathic aseptic necrosis of left femur (CMS code),113,,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Other osteopathies (M86-M90),Osteonecrosis
R41.840,Attention and concentration deficit,113,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Symptoms and signs involving cognition, perception, emotional state and behavior (R40-R46)",Other symptoms and signs involving cognitive functions and awareness
M25.432,"Effusion, left wrist",112,,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Other joint disorders (M20-M25),"Other joint disorder, not elsewhere classified"
S63.92XA,"Sprain of unspecified part of left wrist and hand, initial encounter",112,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Injuries to the wrist, hand and fingers (S60-S69)",Dislocation and sprain of joints and ligaments at wrist and hand level
N83.20,Unspecified ovarian cysts,112,,ICD-10-CM,Diseases of the genitourinary system (N00-N99),Noninflammatory disorders of female genital tract (N80-N98),"Noninflammatory disorders of ovary, fallopian tube and broad ligament"
J32.3,Chronic sphenoidal sinusitis,112,,ICD-10-CM,Diseases of the respiratory system (J00-J99),Other diseases of upper respiratory tract (J30-J39),Chronic sinusitis
G56.21,"Lesion of ulnar nerve, right upper limb",112,,ICD-10-CM,Diseases of the nervous system (G00-G99),"Nerve, nerve root and plexus disorders (G50-G59)",Mononeuropathies of upper limb
K91.850,Pouchitis (CMS code),112,,ICD-10-CM,Diseases of the digestive system (K00-K95),Other diseases of the digestive system (K90-K95),"Intraoperative and postprocedural complications and disorders of digestive system, not elsewhere classified"
Z16.39,Infection with microorganisms resistant to other specified drugs without mention of resistance to multiple drugs,112,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Resistance to antimicrobial drugs (Z16),Resistance to antimicrobial drugs
S51.009A,"Open wound of elbow, without mention of complication",112,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the elbow and forearm (S50-S59),Open wound of elbow and forearm
R77.0,Abnormality of albumin,112,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Abnormal findings on examination of blood, without diagnosis (R70-R79)",Other abnormalities of plasma proteins
Q44.6,Cystic disease of liver,112,,ICD-10-CM,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",Other congenital malformations of the digestive system (Q38-Q45),"Congenital malformations of gallbladder, bile ducts and liver"
T82.198A,"Other mechanical complication of other cardiac electronic device, initial encounter",112,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Complications of surgical and medical care, not elsewhere classified (T80-T88)","Complications of cardiac and vascular prosthetic devices, implants and grafts"
K05.219,"Aggressive periodontitis, localized, unspecified severity",112,,ICD-10-CM,Diseases of the digestive system (K00-K95),Diseases of oral cavity and salivary glands (K00-K14),Gingivitis and periodontal diseases
I63.522,Cerebral infarction due to unspecified occlusion or stenosis of left anterior cerebral artery (CMS code),112,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Cerebrovascular diseases (I60-I69),Cerebral infarction
T16.1XXA,"Foreign body in right ear, initial encounter",112,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Effects of foreign body entering through natural orifice (T15-T19),Foreign body in ear
E11.3599,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye (CMS code)",112,,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Diabetes mellitus (E08-E13),Type 2 diabetes mellitus
M25.761,"Osteophyte, right knee",112,,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Other joint disorders (M20-M25),"Other joint disorder, not elsewhere classified"
S05.30XA,Ocular laceration without prolapse of intraocular tissue,112,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the head (S00-S09),Injury of eye and orbit
C14.0,"Malignant neoplasm of pharynx, unspecified (CMS code)",112,,ICD-10-CM,Neoplasms (C00-D49),"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx"
H46.8,Other optic neuritis,112,,ICD-10-CM,Diseases of the eye and adnexa (H00-H59),Disorders of optic nerve and visual pathways (H46-H47),Optic neuritis
N02.B9,IgA nephropathy,111,,ICD-10-CM,,,
Z79.631,Long term (current) use of antimetabolite agent,111,,ICD-10-CM,,,
J95.00,Unspecified tracheostomy complication (CMS code),111,,ICD-10-CM,Diseases of the respiratory system (J00-J99),"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified (J95)","Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified"
T83.011A,"Breakdown (mechanical) of indwelling urethral catheter, initial encounter",111,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Complications of surgical and medical care, not elsewhere classified (T80-T88)","Complications of genitourinary prosthetic devices, implants and grafts"
J44.81,Bronchiolitis obliterans and bronchiolitis obliterans syndrome (CMS code),111,,ICD-10-CM,,,
D18.00,Hemangioma unspecified site,111,,ICD-10-CM,Neoplasms (C00-D49),"Benign neoplasms, except benign neuroendocrine tumors (D10-D36)","Hemangioma and lymphangioma, any site"
I82.419,Acute embolism and thrombosis of unspecified femoral vein (CMS code),111,,ICD-10-CM,Diseases of the circulatory system (I00-I99),"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified (I80-I89)",Other venous embolism and thrombosis
O00.109,Tubal pregnancy without intrauterine pregnancy,111,,ICD-10-CM,"Pregnancy, childbirth and the puerperium (O00-O9A)",Pregnancy with abortive outcome (O00-O08),Ectopic pregnancy
C85.19,"Unspecified b-cell lymphoma, extranodal and solid organ sites (CMS code)",111,,ICD-10-CM,Neoplasms (C00-D49),"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)",Other specified and unspecified types of non-Hodgkin lymphoma
Z89.431,Acquired absence of right foot (CMS code),111,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Acquired absence of limb
W01.190A,"Fall on same level from slipping, tripping and stumbling with subsequent striking against furniture, initial encounter",111,,ICD-10-CM,External causes of morbidity (V00-Y99),"Slipping, tripping, stumbling and falls (W00-W19)","Fall on same level from slipping, tripping and stumbling"
Z87.410,Personal history of cervical dysplasia,111,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Personal history of other diseases and conditions
H81.12,"Benign paroxysmal vertigo, left ear",111,,ICD-10-CM,Diseases of the ear and mastoid process (H60-H95),Diseases of inner ear (H80-H83),Disorders of vestibular function
R29.707,Nihss score 7,110,,ICD-10-CM,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Symptoms and signs involving the nervous and musculoskeletal systems (R25-R29),Other symptoms and signs involving the nervous and musculoskeletal systems
Z89.411,Acquired absence of right great toe,110,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Acquired absence of limb
E05.20,Thyrotoxicosis with toxic multinodular goiter without thyrotoxic crisis or storm,110,,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Disorders of thyroid gland (E00-E07),Thyrotoxicosis [hyperthyroidism]
S96.911A,"Strain of unspecified muscle and tendon at ankle and foot level, right foot, initial encounter",110,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the ankle and foot (S90-S99),Injury of muscle and tendon at ankle and foot level
M46.27,"Osteomyelitis of vertebra, lumbosacral region (CMS code)",110,infection_other,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Spondylopathies (M45-M49),Other inflammatory spondylopathies
C25.7,Malignant neoplasm of other parts of pancreas (CMS code),110,,ICD-10-CM,Neoplasms (C00-D49),Malignant neoplasms of digestive organs (C15-C26),Malignant neoplasm of pancreas
T46.5X5A,"Adverse effect of other antihypertensive drugs, initial encounter",110,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances (T36-T50)","Poisoning by, adverse effect of and underdosing of agents primarily affecting the cardiovascular system"
Q61.9,Unspecified congenital cystic kidney disease,110,,ICD-10-CM,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",Congenital malformations of the urinary system (Q60-Q64),Cystic kidney disease
H53.462,"Homonymous bilateral field defects, left side",110,,ICD-10-CM,Diseases of the eye and adnexa (H00-H59),Visual disturbances and blindness (H53-H54),Visual disturbances
X31.XXXA,"Exposure to excessive natural cold, initial encounter",110,,ICD-10-CM,External causes of morbidity (V00-Y99),Exposure to forces of nature (X30-X39),Exposure to excessive natural cold
T14.91,Suicide attempt,110,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injury of unspecified body region (T14),Injury of unspecified body region
S82.63XA,Closed fracture of lateral malleolus,110,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the knee and lower leg (S80-S89),"Fracture of lower leg, including ankle"
Y73.8,"Miscellaneous gastroenterology and urology devices associated with adverse incidents, not elsewhere classified",110,,ICD-10-CM,External causes of morbidity (V00-Y99),Medical devices associated with adverse incidents in diagnostic and therapeutic use (Y70-Y82),Gastroenterology and urology devices associated with adverse incidents
N32.3,Diverticulum of bladder,110,,ICD-10-CM,Diseases of the genitourinary system (N00-N99),Other diseases of the urinary system (N30-N39),Other disorders of bladder
B15.9,Hepatitis a without hepatic coma,110,,ICD-10-CM,Certain infectious and parasitic diseases (A00-B99),Viral hepatitis (B15-B19),Acute hepatitis A
H18.821,"Corneal disorder due to contact lens, right eye",110,,ICD-10-CM,Diseases of the eye and adnexa (H00-H59),"Disorders of sclera, cornea, iris and ciliary body (H15-H22)",Other disorders of cornea
H49.01,"Third (oculomotor) nerve palsy, right eye",110,,ICD-10-CM,Diseases of the eye and adnexa (H00-H59),"Disorders of ocular muscles, binocular movement, accommodation and refraction (H49-H52)",Paralytic strabismus
C08.9,"Malignant neoplasm of major salivary gland, unspecified (CMS code)",110,,ICD-10-CM,Neoplasms (C00-D49),"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",Malignant neoplasm of other and unspecified major salivary glands
A04.5,Campylobacter enteritis,109,infection_other,ICD-10-CM,Certain infectious and parasitic diseases (A00-B99),Intestinal infectious diseases (A00-A09),Other bacterial intestinal infections
N80.129,Endometrioma,109,,ICD-10-CM,,,
S41.152A,"Open bite of left upper arm, initial encounter",109,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the shoulder and upper arm (S40-S49),Open wound of shoulder and upper arm
H53.16,Psychophysical visual disturbances,109,,ICD-10-CM,Diseases of the eye and adnexa (H00-H59),Visual disturbances and blindness (H53-H54),Visual disturbances
N80.0,Endometriosis of uterus,109,,ICD-10-CM,Diseases of the genitourinary system (N00-N99),Noninflammatory disorders of female genital tract (N80-N98),Endometriosis
S71.152A,"Open bite, left thigh, initial encounter",109,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the hip and thigh (S70-S79),Open wound of hip and thigh
I63.529,Acute ischemic multifocal anterior circulation stroke (CMS code),109,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Cerebrovascular diseases (I60-I69),Cerebral infarction
D75.A,Glucose-6-phosphate dehydrogenase (G6PD) deficiency without anemia,109,,ICD-10-CM,,,
Z94.89,Other transplanted organ and tissue status,109,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Transplanted organ and tissue status
S42.352A,"Displaced comminuted fracture of shaft of humerus, left arm, initial encounter for closed fracture",109,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the shoulder and upper arm (S40-S49),Fracture of shoulder and upper arm
T17.800A,Aspiration into lower respiratory tract,109,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Effects of foreign body entering through natural orifice (T15-T19),Foreign body in respiratory tract
M21.869,Other acquired deformity of ankle and foot(736.79),109,,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Other joint disorders (M20-M25),Other acquired deformities of limbs
C24.9,"Malignant neoplasm of biliary tract, unspecified (CMS code)",109,,ICD-10-CM,Neoplasms (C00-D49),Malignant neoplasms of digestive organs (C15-C26),Malignant neoplasm of other and unspecified parts of biliary tract
E27.2,Addisonian crisis,109,,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Disorders of other endocrine glands (E20-E35),Other disorders of adrenal gland
D73.3,Abscess of spleen,109,infection_skin,ICD-10-CM,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),Other disorders of blood and blood-forming organs (D70-D77),Diseases of spleen
Z51.0,Encounter for antineoplastic radiation therapy,109,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Encounters for other specific health care (Z40-Z53),Encounter for other aftercare and medical care
B44.89,Other forms of aspergillosis (CMS code),109,,ICD-10-CM,Certain infectious and parasitic diseases (A00-B99),Mycoses (B35-B49),Aspergillosis
S60.10XA,"Contusion of unspecified finger with damage to nail, initial encounter",109,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Injuries to the wrist, hand and fingers (S60-S69)","Superficial injury of wrist, hand and fingers"
C37,Malignant neoplasm of thymus (CMS code),109,,ICD-10-CM,Neoplasms (C00-D49),Malignant neoplasms of respiratory and intrathoracic organs (C30-C39),Malignant neoplasm of thymus
Z98.62,Peripheral vascular angioplasty status,109,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Other postprocedural states
G60.0,Hereditary motor and sensory neuropathy,109,,ICD-10-CM,Diseases of the nervous system (G00-G99),Polyneuropathies and other disorders of the peripheral nervous system (G60-G65),Hereditary and idiopathic neuropathy
Z53.1,Procedure and treatment not carried out because of patient's decision for reasons of belief and group pressure,109,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Encounters for other specific health care (Z40-Z53),"Persons encountering health services for specific procedures and treatment, not carried out"
T82.514A,"Breakdown (mechanical) of infusion catheter, initial encounter",108,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Complications of surgical and medical care, not elsewhere classified (T80-T88)","Complications of cardiac and vascular prosthetic devices, implants and grafts"
B48.8,Other specified mycoses (CMS code),108,,ICD-10-CM,Certain infectious and parasitic diseases (A00-B99),Mycoses (B35-B49),"Other mycoses, not elsewhere classified"
S37.30XA,"Unspecified injury of urethra, initial encounter",108,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Injuries to the abdomen, lower back, lumbar spine, pelvis and external genitals (S30-S39)",Injury of urinary and pelvic organs
Z20.89,Contact with or exposure to other communicable diseases(V01.89),108,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to communicable diseases (Z20-Z29),Contact with and (suspected) exposure to communicable diseases
